CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0,CUSUM_ALARM
3,13160480,2024-01-01 22:24:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0013077699293642,0
2,13160914,2024-01-02 13:10:00,Красноярская,"КРАС, ШЧ-11 (Э)","1шт ч(к учету 0,97ч)",,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,1.0,"0,97ч",,,,,0 days 14:46:00,886.0,886.0,2,0.0013458950201884,Зима,0.0013077699293642,0
2,13161188,2024-01-02 20:16:00,Красноярская,"КРАС, ШЧ-1 (Э)","3шт ч(к учету 2,18ч)",,,Ослабление крепления,CSH,2024,3.0,"2,18ч",,,,,0 days 21:52:00,1312.0,426.0,3,0.0026917900403768,Зима,0.0013077699293642,0
2,13161932,2024-01-03 10:57:00,Красноярская,"КРАС, ШЧ-11 (Э)","2шт (к учету 1) ч(к учету 0,4ч)",,"1шт ч(к учету 0,17)ч","Контактная система, подгар контактов",CSH,2024,1.0,"0,4ч",,,1.0,"0,17ч",1 days 12:33:00,2193.0,881.0,4,0.0040376850605652,Зима,0.0013077699293642,0
3,13162155,2024-01-03 13:40:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,,1 days 15:16:00,2356.0,163.0,5,0.0053835800807537,Зима,0.0013077699293642,0
3,13163399,2024-01-04 10:25:00,Красноярская,"КРАС, ШЧ-1 (Э)",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,,2 days 12:01:00,3601.0,1245.0,6,0.0067294751009421,Зима,0.0013077699293642,0
2,13164328,2024-01-05 01:44:00,Красноярская,"КРАС, ШЧ-4 (Э)","2шт (к учету 1) ч(к учету 0,83ч)",,,Сбой АЛС с задержкой поезда,CSH,2024,1.0,"0,83ч",,,,,3 days 03:20:00,4520.0,919.0,7,0.0080753701211305,Зима,0.0013077699293642,0
2,13165019,2024-01-05 12:56:00,Красноярская,"КРАС, ИЧ УЖУР Ш","1шт ч(к учету 0,5ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,1.0,"0,5ч",,,,,3 days 14:32:00,5192.0,672.0,8,0.0094212651413189,Зима,0.0013077699293642,0
3,13167490,2024-01-07 21:44:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,"Стрелочный ОК, программное обеспечение, сбой",CSH,2024,,,,,,,5 days 23:20:00,8600.0,3408.0,9,0.0107671601615074,Зима,0.0013077699293642,0
3,13167724,2024-01-08 04:12:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Короткое замыкание пластин,CSH,2024,,,,,,,6 days 05:48:00,8988.0,388.0,10,0.0121130551816958,Зима,0.0013077699293642,0
2,13168480,2024-01-08 22:15:00,Красноярская,"КРАС, ШЧ-12 (Э)","5шт ч(к учету 1,93ч)",,,"Резистор, потеря контакта",CSH,2024,5.0,"1,93ч",,,,,6 days 23:51:00,10071.0,1083.0,11,0.0134589502018842,Зима,0.0013077699293642,0
3,13170390,2024-01-10 00:41:00,Красноярская,"КРАС, ШЧ-2 (Р)",,,,"Транзистор, короткое замыкание",CSH,2024,,,,,,,8 days 02:17:00,11657.0,1586.0,12,0.0148048452220726,Зима,0.0013077699293642,0
2,13170435,2024-01-10 03:00:00,Красноярская,"КРАС, ШЧ-6 (Э)","1шт ч(к учету 0,33ч)",,,Неисправность монтажа,CSH,2024,1.0,"0,33ч",,,,,8 days 04:36:00,11796.0,139.0,13,0.0161507402422611,Зима,0.0013077699293642,0
2,13170875,2024-01-10 09:01:00,Красноярская,"КРАС, ШЧ-8 (Р)","2шт ч(к учету 1,33ч)",,,"Срабатывание, несоответствие номинала",CSH,2024,2.0,"1,33ч",,,,,8 days 10:37:00,12157.0,361.0,14,0.0174966352624495,Зима,0.0013077699293642,0
3,13172394,2024-01-10 14:49:00,Красноярская,"КРАС, ШЧ-7 (Э)",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,,8 days 16:25:00,12505.0,348.0,15,0.0188425302826379,Зима,0.0013077699293642,0
1,13172895,2024-01-10 22:01:00,Красноярская,"КРАС, ШЧ-12 (Э)","8шт ч(к учету 6,82ч)",,,"Жилы, обрыв",CSH,2024,8.0,"6,82ч",,,,,8 days 23:37:00,12937.0,432.0,16,0.0201884253028263,Зима,0.0013077699293642,0
3,13176359,2024-01-11 01:00:00,Красноярская,"З-СИБ, ВЧДЭ-6 ИНСКАЯ",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2024,,,,,,,9 days 02:36:00,13116.0,179.0,17,0.0215343203230148,Зима,0.0013077699293642,0
1,13173833,2024-01-11 09:32:00,Красноярская,"КРАС, ШЧ-4 (Э)","4шт ч(к учету 2,35ч)",,,Сбой АЛС с задержкой поезда,CSH,2024,4.0,"2,35ч",,,,,9 days 11:08:00,13628.0,512.0,18,0.0228802153432032,Зима,0.0013077699293642,0
3,13174603,2024-01-11 10:47:00,Красноярская,"КРАС, ШЧ-6 (Э)",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,,9 days 12:23:00,13703.0,75.0,19,0.0242261103633916,Зима,0.0013077699293642,0
3,13175240,2024-01-11 14:02:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,,9 days 15:38:00,13898.0,195.0,20,0.02557200538358,Зима,0.0013077699293642,0
2,13175690,2024-01-12 01:10:00,Красноярская,"КРАС, ШЧ-7 (Э)","1шт ч(к учету 0,37ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,1.0,"0,37ч",,,,,10 days 02:46:00,14566.0,668.0,21,0.0269179004037685,Зима,0.0013077699293642,0
2,13175694,2024-01-12 01:22:00,Красноярская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","1шт ч(к учету 0,48ч)",,,Технологический нагрев буксового узла,CV,2024,1.0,"0,48ч",,,,,10 days 02:58:00,14578.0,12.0,22,0.0282637954239569,Зима,0.0013077699293642,0
2,13179060,2024-01-14 04:05:00,Красноярская,"КРАС, ШЧ-8 (Р)","1шт ч(к учету 0,43ч)",,,"Диод, пробой",CSH,2024,1.0,"0,43ч",,,,,12 days 05:41:00,17621.0,3043.0,23,0.0296096904441453,Зима,0.0013077699293642,0
2,13179468,2024-01-14 14:36:00,Красноярская,"КРАС, ШЧ-4 (Э)","3шт ч(к учету 1,58ч)",,,Сбой АЛС с задержкой поезда,CSH,2024,3.0,"1,58ч",,,,,12 days 16:12:00,18252.0,631.0,24,0.0309555854643337,Зима,0.0013077699293642,0
2,13179799,2024-01-14 22:14:00,Красноярская,"КРАС, ШЧ-1 (Э)","2шт ч(к учету 0,8ч)",,,Нарушение изоляции,CSH,2024,2.0,"0,8ч",,,,,12 days 23:50:00,18710.0,458.0,25,0.0323014804845222,Зима,0.0013077699293642,0
3,13180567,2024-01-15 10:34:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,,13 days 12:10:00,19450.0,740.0,26,0.0336473755047106,Зима,0.0013077699293642,0
3,13181142,2024-01-15 13:54:00,Красноярская,"КРАС, ШЧ-8 (Р)",,,,"Контактная система, подгар контактов",CSH,2024,,,,,,,13 days 15:30:00,19650.0,200.0,27,0.034993270524899,Зима,0.0013077699293642,0
3,13182732,2024-01-16 15:48:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,,14 days 17:24:00,21204.0,1554.0,28,0.0363391655450874,Зима,0.0013077699293642,0
2,13183114,2024-01-17 03:15:00,Красноярская,"КРАС, ШЧ-7 (Э)","1шт ч(к учету 0,45ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,1.0,"0,45ч",,,,,15 days 04:51:00,21891.0,687.0,29,0.0376850605652759,Зима,0.0013077699293642,0
3,13186408,2024-01-17 20:10:00,Красноярская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ",,,,Тонкий гребень колеса грузового вагона,CV,2024,,,,,,,15 days 21:46:00,22906.0,1015.0,30,0.0390309555854643,Зима,0.0013077699293642,0
3,13185163,2024-01-18 12:57:00,Красноярская,"КРАС, ШЧ-11 (Э)",,,,Нарушение контакта,CSH,2024,,,,,,,16 days 14:33:00,23913.0,1007.0,31,0.0403768506056527,Зима,0.0013077699293642,0
1,13185479,2024-01-18 16:31:00,Красноярская,"КРАС, ШЧ-7 (Э)","2шт ч(к учету 1,78ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,2.0,"1,78ч",,,,,16 days 18:07:00,24127.0,214.0,32,0.0417227456258411,Зима,0.0013077699293642,0
3,13186132,2024-01-19 08:19:00,Красноярская,"КРАС, ШЧ-2 (Р)",,,,"Нарушение контакта в клеммных колодках (резьб), плохой контакт",CSH,2024,,,,,,,17 days 09:55:00,25075.0,948.0,33,0.0430686406460296,Зима,0.0013077699293642,0
2,13186419,2024-01-19 11:10:00,Красноярская,"КРАС, ТЧЭ-1","4шт ч(к учету 1,47ч)",,,Износ сетчатого цилиндра фильтра,CT,2024,4.0,"1,47ч",,,,,17 days 12:46:00,25246.0,171.0,34,0.044414535666218,Зима,0.0013077699293642,0
3,13187246,2024-01-20 06:42:00,Красноярская,"КРАС, ТЧЭ-1",,,,"Переброс, круговой огонь в коллекторе тягового двигателя постоянного тока",CT,2024,,,,,,,18 days 08:18:00,26418.0,1172.0,35,0.0457604306864064,Зима,0.0013077699293642,0
2,13187496,2024-01-20 12:11:00,Красноярская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","3шт ч(к учету 0,98ч)",,,Технологический нагрев буксового узла,CV,2024,3.0,"0,98ч",,,,,18 days 13:47:00,26747.0,329.0,36,0.0471063257065948,Зима,0.0013077699293642,0
3,13187870,2024-01-20 21:45:00,Красноярская,"КРАС, ШЧ-8 (Р)",,,,"Контактная система, подгар контактов",CSH,2024,,,,,,,18 days 23:21:00,27321.0,574.0,37,0.0484522207267833,Зима,0.0013077699293642,0
2,13194041,2024-01-21 19:03:00,Красноярская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","1шт ч(к учету 0,25ч)",,,Неправильное включение режимов отпуска воздухораспределителя,CV,2024,1.0,"0,25ч",,,,,19 days 20:39:00,28599.0,1278.0,38,0.0497981157469717,Зима,0.0013077699293642,0
3,13188827,2024-01-21 22:43:00,Красноярская,"КРАС, ШЧ-6 (Э)",,,,Нарушение контакта,CSH,2024,,,,,,,20 days 00:19:00,28819.0,220.0,39,0.0511440107671601,Зима,0.0013077699293642,0
3,13192366,2024-01-22 11:20:00,Красноярская,"КРАС, ШЧ-12 (Э)",,,,Нарушение регулировки,CSH,2024,,,,,,,20 days 12:56:00,29576.0,757.0,40,0.0524899057873485,Зима,0.0013077699293642,0
