CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX
3,13160341,2024-01-01 14:29:00,Северная,"СЕВ, ШЧ-10",,,,Потеря контакта в дужке,CSH,2024,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0
3,13160686,2024-01-02 07:40:00,Северная,"СЕВ, ШЧ-5 (Р)",,,,"Конденсатор, снижение емкости",CSH,2024,,,,,,,0 days 17:11:00,1031.0,1031.0,2,0.00228310502283105
3,13162549,2024-01-03 06:48:00,Северная,"ОКТ, ТЧЭ-4",,,,Прочая неисправность корпуса буксы локомотива,CT,2024,,,,,,,1 days 16:19:00,2419.0,1388.0,3,0.0045662100456621
3,13161809,2024-01-03 08:11:00,Северная,"СЕВ, ШЧ-5 (Р)",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,1 days 17:42:00,2502.0,83.0,4,0.00684931506849315
3,13161876,2024-01-03 10:27:00,Северная,"СЕВ, ШЧ-13",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,1 days 19:58:00,2638.0,136.0,5,0.0091324200913242
3,13162724,2024-01-03 22:35:00,Северная,"ОКТ, ТЧЭ-4",,,,Прочая неисправность стопорной планки буксовой гайки локомотива,CT,2024,,,,,,,2 days 08:06:00,3366.0,728.0,6,0.01141552511415525
2,13163201,2024-01-04 07:51:00,Северная,"СЕВ, ШЧ-5 (Р)",,,"1шт ч(к учету 0,1)ч","Контактная система, увеличенное сопротивление",CSH,2024,,,,,1.0,"0,1ч",2 days 17:22:00,3922.0,556.0,7,0.0136986301369863
2,13164252,2024-01-04 21:57:00,Северная,"СЕВ, ШЧ-10","1шт ч(к учету 0,77ч)",,,Влияние посторонних источников питания,CSH,2024,1.0,"0,77ч",,,,,3 days 07:28:00,4768.0,846.0,8,0.01598173515981735
3,13164324,2024-01-05 00:25:00,Северная,"СЕВ, ШЧ-3",,,,"Контрольные линейки, ослабление крепления",CSH,2024,,,,,,,3 days 09:56:00,4916.0,148.0,9,0.0182648401826484
1,13165261,2024-01-05 13:03:00,Северная,"СЕВ, ШЧ-4","16шт (к учету 10) ч(к учету 10,6ч)","1шт ч(к учету 0,18ч)",,"Электродвигатель, переменного тока (МСТ, МСА), короткое замыкание обмотки статора",CSH,2024,10.0,"10,6ч",1.0,"0,18ч",,,3 days 22:34:00,5674.0,758.0,10,0.02054794520547945
2,13166440,2024-01-06 17:11:00,Северная,"СЕВ, ШЧ-2",,"6шт (к учету 5) ч(к учету 4,13ч)","2шт ч(к учету 0,48)ч","Жилы, окисление",CSH,2024,,,5.0,"4,13ч",2.0,"0,48ч",5 days 02:42:00,7362.0,1688.0,11,0.0228310502283105
1,13167759,2024-01-08 05:34:00,Северная,"СЕВ, ШЧ-3","1шт ч(к учету 1,72ч)",,,Нарушение контакта,CSH,2024,1.0,"1,72ч",,,,,6 days 15:05:00,9545.0,2183.0,12,0.02511415525114155
3,13169536,2024-01-09 12:50:00,Северная,"СЕВ, ШЧ-3",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,,7 days 22:21:00,11421.0,1876.0,13,0.0273972602739726
3,13172598,2024-01-10 16:38:00,Северная,"СЕВ, ШЧ-4",,,,"Обрыв троса, при путевых работах",CSH,2024,,,,,,,9 days 02:09:00,13089.0,1668.0,14,0.02968036529680365
3,13172873,2024-01-10 16:40:00,Северная,"СЕВ, ШЧ-18",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,9 days 02:11:00,13091.0,2.0,15,0.0319634703196347
2,13174008,2024-01-11 06:46:00,Северная,"СЕВ, ШЧ-3","7шт ч(к учету 2,68ч)",,,"Контактная система, подгар контактов",CSH,2024,7.0,"2,68ч",,,,,9 days 16:17:00,13937.0,846.0,16,0.03424657534246575
2,13173398,2024-01-11 07:07:00,Северная,"СЕВ, ШЧ-2","2шт ч(к учету 0,95ч)","1шт ч(к учету 0,22ч)","1шт ч(к учету 0,17)ч",Механическое разрушение прочих типов трансформаторов линии энергоснабжения нетяговых потребителей,CSH,2024,2.0,"0,95ч",1.0,"0,22ч",1.0,"0,17ч",9 days 16:38:00,13958.0,21.0,17,0.0365296803652968
2,13176062,2024-01-12 06:41:00,Северная,"СЕВ, ИЧ МИКУНЬ Ш","1шт ч(к учету 0,43ч)",,,"Автопереключатель, разрегулировка контактов",CSH,2024,1.0,"0,43ч",,,,,10 days 16:12:00,15372.0,1414.0,18,0.03881278538812785
2,13178080,2024-01-13 01:15:00,Северная,"СЕВ, ШЧ-4","1шт ч(к учету 0,38ч)",,,"Срабатывание, коммутационные перенапряжения",CSH,2024,1.0,"0,38ч",,,,,11 days 10:46:00,16486.0,1114.0,19,0.0410958904109589
2,13179647,2024-01-14 18:14:00,Северная,"СЕВ, ШЧ-5 (Р)","4шт (к учету 3) ч(к учету 1,33ч)",,,"Контактная система, увеличенное сопротивление",CSH,2024,3.0,"1,33ч",,,,,13 days 03:45:00,18945.0,2459.0,20,0.04337899543378995
1,13179842,2024-01-14 22:50:00,Северная,"СЕВ, ТЧЭ-15","9шт ч(к учету 27,87ч)",,"7шт (к учету 4) ч(к учету 8,73)ч",Межвитковое замыкание включающей катушки главного выключателя,CT,2024,9.0,"27,87ч",,,4.0,"8,73ч",13 days 08:21:00,19221.0,276.0,21,0.045662100456621
2,13182458,2024-01-16 12:31:00,Северная,"СЕВ, ШЧ-4","1шт ч(к учету 0,42ч)",,,"Диод, обрыв",CSH,2024,1.0,"0,42ч",,,,,14 days 22:02:00,21482.0,2261.0,22,0.04794520547945205
2,13190087,2024-01-22 20:30:00,Северная,"СЕВ, ИЧ ИВАНОВО Ш","1шт ч(к учету 0,38ч)",,"1шт ч(к учету 0,75)ч","Выводные клеммы, повреждение пайки выводов клемм",CSH,2024,1.0,"0,38ч",,,1.0,"0,75ч",21 days 06:01:00,30601.0,9119.0,23,0.0502283105022831
3,13190192,2024-01-23 01:50:00,Северная,"СЕВ, ШЧ-15",,,,"Резистор, потеря контакта",CSH,2024,,,,,,,21 days 11:21:00,30921.0,320.0,24,0.05251141552511415
3,13190736,2024-01-23 09:10:00,Северная,"СЕВ, ШЧ-2",,,,Обрыв монтажного провода,CSH,2024,,,,,,,21 days 18:41:00,31361.0,440.0,25,0.0547945205479452
3,13195669,2024-01-26 13:50:00,Северная,"СЕВ, ШЧ-10",,,,Отключение внешнего электроснабжения,CSH,2024,,,,,,,24 days 23:21:00,35961.0,4600.0,26,0.05707762557077625
3,13195789,2024-01-26 16:10:00,Северная,"СЕВ, ИЧ МИКУНЬ Ш",,,,Нарушение изоляции монтажных проводов,CSH,2024,,,,,,,25 days 01:41:00,36101.0,140.0,27,0.0593607305936073
2,13197092,2024-01-28 16:23:00,Северная,"СЕВ, ШЧ-10","3шт ч(к учету 0,72ч)",,,Нарушение контакта наконечник/вывод ДТ,CSH,2024,3.0,"0,72ч",,,,,27 days 01:54:00,38994.0,2893.0,28,0.06164383561643835
3,13197526,2024-01-28 22:50:00,Северная,"СЕВ, ШЧ-9",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,27 days 08:21:00,39381.0,387.0,29,0.0639269406392694
2,13197381,2024-01-29 03:07:00,Северная,"СЕВ, ШЧ-18","1шт ч(к учету 0,25ч)","1шт ч(к учету 0,4ч)",,"Монтаж, обрыв монтажного провода",CSH,2024,1.0,"0,25ч",1.0,"0,4ч",,,27 days 12:38:00,39638.0,257.0,30,0.06621004566210045
2,13198878,2024-01-30 09:00:00,Северная,"СЕВ, ШЧ-4","5шт ч(к учету 1,7ч)",,,Ослабление затяжки болтов,CSH,2024,5.0,"1,7ч",,,,,28 days 18:31:00,41431.0,1793.0,31,0.0684931506849315
3,13199566,2024-01-30 18:11:00,Северная,"СЕВ, ШЧ-12 (Р)",,,,"Кнопки, механическое заедание кнопки",CSH,2024,,,,,,,29 days 03:42:00,41982.0,551.0,32,0.07077625570776255
1,13200571,2024-01-31 13:01:00,Северная,"СЕВ, ВЧДЭ-11 СОСНОГОРСК","1шт ч(к учету 1,08ч)",,,Излом/трещина ниппеля разобщительного крана,CV,2024,1.0,"1,08ч",,,,,29 days 22:32:00,43112.0,1130.0,33,0.0730593607305936
2,13201481,2024-02-01 10:00:00,Северная,"СЕВ, ШЧ-4","2шт ч(к учету 0,67ч)",,,"Нарушение контакта в штепсельных розетках, излом розеток",CSH,2024,2.0,"0,67ч",,,,,30 days 19:31:00,44371.0,1259.0,34,0.07534246575342465
3,13203073,2024-02-02 10:30:00,Северная,"СЕВ, ШЧ-18",,,,Нарушение изоляции монтажных проводов,CSH,2024,,,,,,,31 days 20:01:00,45841.0,1470.0,35,0.0776255707762557
3,13203293,2024-02-02 13:25:00,Северная,"СЕВ, ИЧ ИВАНОВО Ш",,,,"Нарушение контакта в разъемах блоков, замятие контакта",CSH,2024,,,,,,,31 days 22:56:00,46016.0,175.0,36,0.07990867579908675
3,13203683,2024-02-02 19:14:00,Северная,"СЕВ, ШЧ-5 (Р)",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,32 days 04:45:00,46365.0,349.0,37,0.0821917808219178
2,13205333,2024-02-04 10:26:00,Северная,"СЕВ, ШЧ-9","5шт (к учету 4) ч(к учету 1,47ч)",,,Излом датчика УКСПС по старой трещине,CSH,2024,4.0,"1,47ч",,,,,33 days 19:57:00,48717.0,2352.0,38,0.08447488584474885
2,13205654,2024-02-04 19:19:00,Северная,"СЕВ, ИЧ ИВАНОВО Ш",,,"1шт ч(к учету 0,12)ч",Излом наконечника,CSH,2024,,,,,1.0,"0,12ч",34 days 04:50:00,49250.0,533.0,39,0.0867579908675799
2,13206915,2024-02-05 15:00:00,Северная,"СЕВ, ШЧ-3","14шт (к учету 12) ч(к учету 6,15ч)",,,Занос снегом,CSH,2024,12.0,"6,15ч",,,,,35 days 00:31:00,50431.0,1181.0,40,0.08904109589041095
1,13207500,2024-02-06 03:17:00,Северная,"СЕВ, ШЧ-3","6шт ч(к учету 5,15ч)",,,Нарушение контакта,CSH,2024,6.0,"5,15ч",,,,,35 days 12:48:00,51168.0,737.0,41,0.091324200913242
3,13207466,2024-02-06 03:45:00,Северная,"СЕВ, ШЧ-18",,,,Касание закруток,CSH,2024,,,,,,,35 days 13:16:00,51196.0,28.0,42,0.09360730593607305
3,13210020,2024-02-07 00:15:00,Северная,"СЕВ, ШЧ-10",,,,"Сигнальная обмотка, короткое замыкание",CSH,2024,,,,,,,36 days 09:46:00,52426.0,1230.0,43,0.0958904109589041
2,13212149,2024-02-08 05:49:00,Северная,"СЕВ, ШЧ-18","1шт ч(к учету 0,43ч)","1шт ч(к учету 0,22ч)",,"Жилы, обрыв",CSH,2024,1.0,"0,43ч",1.0,"0,22ч",,,37 days 15:20:00,54200.0,1774.0,44,0.09817351598173515
3,13215409,2024-02-08 12:06:00,Северная,"СЕВ, ШЧ-18",,,,Нарушение регулировки,CSH,2024,,,,,,,37 days 21:37:00,54577.0,377.0,45,0.1004566210045662
2,13215561,2024-02-09 17:27:00,Северная,"СЕВ, ТЧЭ-1","1шт ч(к учету 0,77ч)",,,Прочая неисправность корпуса глушителя,CT,2024,1.0,"0,77ч",,,,,39 days 02:58:00,56338.0,1761.0,46,0.10273972602739725
2,13215715,2024-02-09 21:55:00,Северная,"СЕВ, ШЧ-5 (Р)",4шт (к учету 3) ч(к учету 1ч),"1шт ч(к учету 0,03ч)",,"Контактная система, увеличенное сопротивление",CSH,2024,3.0,1ч,1.0,"0,03ч",,,39 days 07:26:00,56606.0,268.0,47,0.1050228310502283
2,13216038,2024-02-10 07:50:00,Северная,"СЕВ, ШЧ-10","1шт ч(к учету 0,92ч)",,,"Автопереключатель, разрегулировка контактов",CSH,2024,1.0,"0,92ч",,,,,39 days 17:21:00,57201.0,595.0,48,0.10730593607305935
2,13216927,2024-02-11 04:47:00,Северная,"СЕВ, ВЧДЭ-7 ЛОСТА","2шт ч(к учету 0,82ч)",,,Разрегулирование рычажной передачи грузового вагона,CV,2024,2.0,"0,82ч",,,,,40 days 14:18:00,58458.0,1257.0,49,0.1095890410958904
3,13217563,2024-02-11 18:40:00,Северная,"СЕВ, ШЧ-5 (Р)",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,41 days 04:11:00,59291.0,833.0,50,0.11187214611872145
3,13219000,2024-02-12 15:08:00,Северная,"СЕВ, ШЧ-9",,,,Обрыв монтажного провода,CSH,2024,,,,,,,42 days 00:39:00,60519.0,1228.0,51,0.1141552511415525
3,13240712,2024-02-17 11:10:00,Северная,"СЕВ, ШЧ-4","3шт ч(к учету 0,45ч)",,,"Контрольные линейки, ослабление крепления",CSH,2024,3.0,"0,45ч",,,,,46 days 20:41:00,67481.0,6962.0,52,0.11643835616438356
2,13228395,2024-02-19 10:49:00,Северная,"СЕВ, ШЧ-13","1шт ч(к учету 0,25ч)",,,Излом розеток,CSH,2024,1.0,"0,25ч",,,,,48 days 20:20:00,70340.0,2859.0,53,0.1187214611872146
1,13230407,2024-02-21 00:43:00,Северная,"СЕВ, ШЧ-2","8шт (к учету 7) ч(к учету 5,48ч)","3шт ч(к учету 0,7ч)",,Обрыв монтажного провода,CSH,2024,7.0,"5,48ч",3.0,"0,7ч",,,50 days 10:14:00,72614.0,2274.0,54,0.12100456621004566
2,13231953,2024-02-21 16:43:00,Северная,"СЕВ, ШЧ-3","8шт ч(к учету 2,9ч)",,,"Механическое разрушение, обрыв прочих элементов разъединителя линий СЦБ",CSH,2024,8.0,"2,9ч",,,,,51 days 02:14:00,73574.0,960.0,55,0.1232876712328767
1,13233363,2024-02-22 22:14:00,Северная,"СЕВ, ВЧДЭ-1 ЯРОСЛАВЛЬ-ГЛ","1шт ч(к учету 4,27ч)",,,"Забоины, риски на внутренней поверхности штока главного поршня",CV,2024,1.0,"4,27ч",,,,,52 days 07:45:00,75345.0,1771.0,56,0.12557077625570776
3,13233963,2024-02-23 10:05:00,Северная,"СЕВ, ИЧ ИВАНОВО Ш",,,,"Трубопровод, повреждение трубопроводов",CSH,2024,,,,,,,52 days 19:36:00,76056.0,711.0,57,0.1278538812785388
