CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
1,2023-02-01 11:05:00,Красноярская,CT,2023
1,2023-06-01 00:20:00,Октябрьская,CT,2023
1,2023-07-01 21:35:00,Октябрьская,CT,2023
1,2023-08-01 16:42:00,Юго-Восточная,CT,2023
1,2023-08-01 20:03:00,Северо-Кавказская,CT,2023
1,2023-09-01 05:40:00,Северо-Кавказская,CT,2023
1,2023-09-01 09:02:00,Дальневосточная,CT,2023
1,2023-10-01 23:20:00,Забайкальская,CT,2023
1,2023-01-13 05:25:00,Красноярская,CT,2023
1,2023-01-19 23:01:00,Октябрьская,CT,2023
1,2023-01-20 00:33:00,Забайкальская,CT,2023
1,2023-01-21 03:52:00,Октябрьская,CT,2023
1,2023-01-21 22:14:00,Западно-Сибирская,CT,2023
1,2023-01-24 18:50:00,Свердловская,CT,2023
1,2023-01-25 21:50:00,Северо-Кавказская,CT,2023
1,2023-01-31 18:20:00,Октябрьская,CT,2023
1,2023-01-02 18:00:00,Октябрьская,CT,2023
1,2023-02-02 10:00:00,Восточно-Сибирская,CT,2023
1,2023-07-02 06:51:00,Северо-Кавказская,CT,2023
1,2023-07-02 10:50:00,Октябрьская,CT,2023
1,2023-07-02 21:10:00,Красноярская,CT,2023
1,2023-12-02 03:30:00,Восточно-Сибирская,CT,2023
1,2023-02-13 11:10:00,Октябрьская,CT,2023
1,2023-02-14 04:46:00,Октябрьская,CT,2023
1,2023-02-17 04:05:00,Октябрьская,CT,2023
1,2023-02-28 06:25:00,Октябрьская,CT,2023
1,2023-02-28 23:20:00,Октябрьская,CT,2023
1,2023-05-03 05:26:00,Свердловская,CT,2023
1,2023-08-03 09:10:00,Горьковская,CT,2023
1,2023-10-03 08:47:00,Северо-Кавказская,CT,2023
1,2023-11-03 20:35:00,Северо-Кавказская,CT,2023
1,2023-03-17 00:27:00,Московская,CT,2023
1,2023-03-24 09:00:00,Куйбышевская,CT,2023
1,2023-03-25 22:10:00,Западно-Сибирская,CT,2023
1,2023-03-29 06:10:00,Северо-Кавказская,CT,2023
1,2023-03-30 17:56:00,Северо-Кавказская,CT,2023
1,2023-04-04 09:40:00,Куйбышевская,CT,2023
1,2023-05-04 15:40:00,Северо-Кавказская,CT,2023
1,2023-11-04 15:43:00,Октябрьская,CT,2023
1,2023-03-05 21:10:00,Северо-Кавказская,CT,2023
1,2023-05-29 18:53:00,Восточно-Сибирская,CT,2023
1,2023-05-31 17:22:00,Дальневосточная,CT,2023
1,2023-05-06 22:50:00,Северо-Кавказская,CT,2023
1,2023-09-06 22:51:00,Северо-Кавказская,CT,2023
1,2023-06-14 00:10:00,Северо-Кавказская,CT,2023
1,2023-06-16 15:20:00,Красноярская,CT,2023
1,2023-06-19 20:27:00,Забайкальская,CT,2023
1,2023-06-25 01:12:00,Красноярская,CT,2023
1,2023-06-25 20:08:00,Восточно-Сибирская,CT,2023
1,2023-06-26 04:43:00,Северо-Кавказская,CT,2023
1,2023-06-26 23:20:00,Северо-Кавказская,CT,2023
1,2023-03-07 07:49:00,Восточно-Сибирская,CT,2023
1,2023-05-07 00:34:00,Октябрьская,CT,2023
1,2023-12-07 09:50:00,Свердловская,CT,2023
1,2023-07-15 04:25:00,Октябрьская,CT,2023
1,2023-07-20 09:14:00,Свердловская,CT,2023
1,2023-07-20 10:42:00,Забайкальская,CT,2023
1,2023-07-20 22:27:00,Октябрьская,CT,2023
1,2023-07-29 08:13:00,Октябрьская,CT,2023
1,2023-07-29 10:08:00,Октябрьская,CT,2023
1,2023-07-30 10:33:00,Забайкальская,CT,2023
1,2023-03-08 23:41:00,Октябрьская,CT,2023
1,2023-09-08 18:57:00,Красноярская,CT,2023
1,2023-08-14 13:58:00,Южно-Уральская,CT,2023
1,2023-08-15 16:35:00,Октябрьская,CT,2023
1,2023-08-22 13:42:00,Забайкальская,CT,2023
1,2023-08-22 20:50:00,Забайкальская,CT,2023
1,2023-08-23 06:41:00,Северо-Кавказская,CT,2023
1,2023-08-09 06:50:00,Забайкальская,CT,2023
1,2023-10-09 14:50:00,Дальневосточная,CT,2023
1,2023-09-15 19:00:00,Восточно-Сибирская,CT,2023
1,2023-09-16 14:49:00,Горьковская,CT,2023
1,2023-09-21 08:00:00,Свердловская,CT,2023
1,2023-09-27 21:06:00,Октябрьская,CT,2023
1,2023-09-30 03:40:00,Западно-Сибирская,CT,2023
1,2023-09-30 07:32:00,Восточно-Сибирская,CT,2023
1,2023-04-10 19:15:00,Забайкальская,CT,2023
1,2023-10-17 01:00:00,Горьковская,CT,2023
1,2023-10-26 00:19:00,Дальневосточная,CT,2023
1,2023-10-30 16:00:00,Северо-Кавказская,CT,2023
