CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
1,2023-05-07 07:10:00,Забайкальская,CV,2023
1,2023-06-07 10:23:00,Западно-Сибирская,CV,2023
1,2023-07-07 02:06:00,Забайкальская,CV,2023
1,2023-08-07 07:56:00,Забайкальская,CV,2023
1,2023-08-07 20:20:00,Забайкальская,CV,2023
1,2023-10-07 15:45:00,Западно-Сибирская,CV,2023
1,2023-11-07 04:16:00,Северная,CV,2023
1,2023-07-14 22:33:00,Забайкальская,CV,2023
1,2023-07-16 07:10:00,Западно-Сибирская,CV,2023
1,2023-07-31 07:42:00,Забайкальская,CV,2023
1,2023-07-31 17:50:00,Красноярская,CV,2023
1,2023-05-08 04:27:00,Красноярская,CV,2023
1,2023-08-13 16:21:00,Октябрьская,CV,2023
1,2023-08-14 20:05:00,Свердловская,CV,2023
1,2023-01-09 18:54:00,Красноярская,CV,2023
1,2023-03-09 06:15:00,Забайкальская,CV,2023
1,2023-06-09 07:17:00,Забайкальская,CV,2023
1,2023-07-09 11:18:00,Свердловская,CV,2023
1,2023-07-09 14:56:00,Забайкальская,CV,2023
1,2023-09-13 20:00:00,Дальневосточная,CV,2023
1,2023-09-14 03:54:00,Дальневосточная,CV,2023
1,2023-09-17 13:43:00,Забайкальская,CV,2023
1,2023-09-18 00:19:00,Западно-Сибирская,CV,2023
1,2023-09-22 04:19:00,Западно-Сибирская,CV,2023
1,2023-09-24 01:54:00,Октябрьская,CV,2023
1,2023-09-27 09:23:00,Октябрьская,CV,2023
1,2023-09-28 18:02:00,Северная,CV,2023
1,2023-09-29 16:13:00,Восточно-Сибирская,CV,2023
1,2023-01-10 15:04:00,Горьковская,CV,2023
1,2023-02-10 21:20:00,Забайкальская,CV,2023
1,2023-09-10 14:40:00,Забайкальская,CV,2023
1,2023-11-10 03:05:00,Забайкальская,CV,2023
1,2023-11-10 17:29:00,Красноярская,CV,2023
1,2023-10-17 04:18:00,Западно-Сибирская,CV,2023
1,2023-10-18 02:51:00,Западно-Сибирская,CV,2023
1,2023-10-19 15:45:00,Западно-Сибирская,CV,2023
1,2023-10-23 20:27:00,Забайкальская,CV,2023
1,2023-10-24 14:15:00,Дальневосточная,CV,2023
1,2023-10-31 16:18:00,Западно-Сибирская,CV,2023
1,2024-08-01 21:00:00,Западно-Сибирская,CV,2024
1,2024-10-01 01:41:00,Западно-Сибирская,CV,2024
1,2024-12-01 16:50:00,Забайкальская,CV,2024
1,2024-01-18 08:25:00,Октябрьская,CV,2024
1,2024-01-30 17:37:00,Забайкальская,CV,2024
1,2024-01-31 00:55:00,Восточно-Сибирская,CV,2024
1,2024-01-31 09:05:00,Дальневосточная,CV,2024
1,2024-01-31 13:01:00,Северная,CV,2024
1,2024-02-02 00:08:00,Свердловская,CV,2024
1,2024-02-02 21:21:00,Дальневосточная,CV,2024
1,2024-04-02 06:56:00,Восточно-Сибирская,CV,2024
1,2024-05-02 04:30:00,Дальневосточная,CV,2024
1,2024-06-02 07:41:00,Забайкальская,CV,2024
1,2024-06-02 14:43:00,Горьковская,CV,2024
1,2024-12-02 03:39:00,Забайкальская,CV,2024
1,2024-02-13 16:58:00,Забайкальская,CV,2024
1,2024-02-15 04:55:00,Забайкальская,CV,2024
1,2024-02-20 03:10:00,Дальневосточная,CV,2024
1,2024-02-20 10:30:00,Дальневосточная,CV,2024
1,2024-02-22 00:41:00,Дальневосточная,CV,2024
1,2024-02-22 22:14:00,Северная,CV,2024
1,2024-02-23 00:07:00,Забайкальская,CV,2024
1,2024-02-24 01:30:00,Забайкальская,CV,2024
1,2024-02-24 09:29:00,Западно-Сибирская,CV,2024
1,2024-02-24 12:59:00,Забайкальская,CV,2024
1,2024-02-25 16:28:00,Забайкальская,CV,2024
1,2024-02-25 22:57:00,Забайкальская,CV,2024
1,2024-02-26 04:22:00,Октябрьская,CV,2024
1,2024-02-27 01:09:00,Забайкальская,CV,2024
1,2024-02-27 22:55:00,Забайкальская,CV,2024
1,2024-01-03 04:11:00,Забайкальская,CV,2024
1,2024-03-03 15:38:00,Забайкальская,CV,2024
1,2024-04-03 03:15:00,Забайкальская,CV,2024
1,2024-04-03 03:37:00,Красноярская,CV,2024
1,2024-08-03 04:35:00,Забайкальская,CV,2024
1,2024-08-03 11:14:00,Забайкальская,CV,2024
1,2024-11-03 06:08:00,Забайкальская,CV,2024
1,2024-03-14 05:03:00,Северная,CV,2024
1,2024-03-16 20:06:00,Забайкальская,CV,2024
1,2024-03-20 02:40:00,Забайкальская,CV,2024
1,2024-03-21 22:16:00,Забайкальская,CV,2024
1,2024-03-25 14:14:00,Октябрьская,CV,2024
1,2024-03-26 19:50:00,Забайкальская,CV,2024
1,2024-03-29 02:49:00,Западно-Сибирская,CV,2024
1,2024-03-31 06:42:00,Северная,CV,2024
1,2024-10-04 00:52:00,Забайкальская,CV,2024
1,2024-11-04 22:12:00,Северная,CV,2024
1,2024-12-04 16:53:00,Забайкальская,CV,2024
1,2024-04-13 10:22:00,Северная,CV,2024
1,2024-04-16 03:04:00,Забайкальская,CV,2024
1,2024-04-18 07:20:00,Северная,CV,2024
1,2024-04-21 00:04:00,Октябрьская,CV,2024
1,2024-04-21 06:24:00,Октябрьская,CV,2024
1,2024-04-22 08:00:00,Октябрьская,CV,2024
1,2024-04-27 20:43:00,Забайкальская,CV,2024
1,2024-12-05 11:15:00,Забайкальская,CV,2024
1,2024-05-14 12:11:00,Красноярская,CV,2024
1,2024-05-14 16:26:00,Восточно-Сибирская,CV,2024
1,2024-05-20 02:59:00,Дальневосточная,CV,2024
1,2024-05-21 15:59:00,Октябрьская,CV,2024
1,2024-05-24 12:11:00,Октябрьская,CV,2024
1,2024-05-30 23:16:00,Забайкальская,CV,2024
1,2024-05-06 07:50:00,Горьковская,CV,2024
1,2024-07-06 07:34:00,Забайкальская,CV,2024
1,2024-06-14 13:39:00,Октябрьская,CV,2024
1,2024-06-20 09:13:00,Горьковская,CV,2024
1,2024-06-23 23:10:00,Октябрьская,CV,2024
1,2024-06-26 07:37:00,Дальневосточная,CV,2024
1,2024-06-28 03:12:00,Западно-Сибирская,CV,2024
1,2024-06-30 04:21:00,Западно-Сибирская,CV,2024
1,2024-02-07 11:08:00,Западно-Сибирская,CV,2024
1,2024-07-07 14:48:00,Забайкальская,CV,2024
1,2024-08-07 17:02:00,Дальневосточная,CV,2024
1,2024-09-07 09:21:00,Западно-Сибирская,CV,2024
1,2024-07-15 10:58:00,Северная,CV,2024
1,2024-07-15 21:58:00,Забайкальская,CV,2024
1,2024-07-28 07:54:00,Дальневосточная,CV,2024
1,2024-07-30 22:50:00,Забайкальская,CV,2024
1,2024-07-31 07:41:00,Свердловская,CV,2024
1,2024-01-08 11:05:00,Забайкальская,CV,2024
1,2024-08-13 07:55:00,Октябрьская,CV,2024
1,2024-08-13 16:41:00,Западно-Сибирская,CV,2024
1,2024-08-23 09:55:00,Забайкальская,CV,2024
1,2024-08-31 23:49:00,Октябрьская,CV,2024
1,2024-03-09 06:40:00,Западно-Сибирская,CV,2024
1,2024-06-09 11:40:00,Западно-Сибирская,CV,2024
1,2024-08-09 05:40:00,Забайкальская,CV,2024
1,2024-10-09 00:01:00,Забайкальская,CV,2024
1,2024-11-09 10:51:00,Забайкальская,CV,2024
1,2024-09-13 15:11:00,Забайкальская,CV,2024
1,2024-09-17 20:53:00,Забайкальская,CV,2024
1,2024-09-23 17:19:00,Красноярская,CV,2024
1,2024-09-24 03:12:00,Октябрьская,CV,2024
1,2024-09-25 06:39:00,Забайкальская,CV,2024
1,2024-05-10 17:14:00,Забайкальская,CV,2024
1,2024-07-10 23:11:00,Забайкальская,CV,2024
1,2024-11-10 08:40:00,Забайкальская,CV,2024
1,2024-12-10 18:18:00,Забайкальская,CV,2024
1,2024-10-19 13:17:00,Западно-Сибирская,CV,2024
1,2024-10-26 02:08:00,Западно-Сибирская,CV,2024
1,2024-10-26 06:42:00,Забайкальская,CV,2024
1,2024-10-26 15:06:00,Забайкальская,CV,2024
1,2024-10-28 10:47:00,Забайкальская,CV,2024
1,2024-10-29 21:52:00,Забайкальская,CV,2024
1,2024-10-31 23:11:00,Западно-Сибирская,CV,2024
1,2024-04-11 02:22:00,Забайкальская,CV,2024
1,2024-04-11 19:00:00,Западно-Сибирская,CV,2024
1,2024-06-11 23:31:00,Западно-Сибирская,CV,2024
1,2024-10-11 17:55:00,Западно-Сибирская,CV,2024
1,2024-11-11 07:16:00,Западно-Сибирская,CV,2024
1,2024-11-11 08:56:00,Западно-Сибирская,CV,2024
1,2024-11-11 21:21:00,Западно-Сибирская,CV,2024
1,2024-11-13 09:58:00,Октябрьская,CV,2024
1,2024-11-14 03:30:00,Дальневосточная,CV,2024
1,2024-11-15 17:03:00,Забайкальская,CV,2024
1,2024-11-18 09:20:00,Красноярская,CV,2024
1,2024-11-21 05:41:00,Октябрьская,CV,2024
1,2024-11-21 07:47:00,Забайкальская,CV,2024
1,2024-11-24 00:26:00,Северная,CV,2024
1,2024-11-24 17:50:00,Западно-Сибирская,CV,2024
1,2024-11-25 18:33:00,Западно-Сибирская,CV,2024
1,2024-11-27 17:15:00,Дальневосточная,CV,2024
1,2024-11-28 21:50:00,Забайкальская,CV,2024
1,2024-03-12 04:43:00,Восточно-Сибирская,CV,2024
1,2024-04-12 10:00:00,Красноярская,CV,2024
1,2024-04-12 16:07:00,Красноярская,CV,2024
1,2024-09-12 20:24:00,Забайкальская,CV,2024
1,2024-11-12 01:30:00,Октябрьская,CV,2024
1,2024-11-12 08:20:00,Забайкальская,CV,2024
1,2024-12-12 02:12:00,Забайкальская,CV,2024
1,2024-12-12 16:20:00,Забайкальская,CV,2024
1,2024-12-13 20:02:00,Октябрьская,CV,2024
1,2024-12-14 18:43:00,Дальневосточная,CV,2024
1,2024-12-15 01:05:00,Западно-Сибирская,CV,2024
1,2024-12-17 18:00:00,Западно-Сибирская,CV,2024
1,2024-12-20 17:57:00,Забайкальская,CV,2024
1,2024-12-20 19:59:00,Западно-Сибирская,CV,2024
1,2024-12-21 11:08:00,Восточно-Сибирская,CV,2024
1,2024-12-22 16:31:00,Дальневосточная,CV,2024
1,2024-12-24 22:10:00,Забайкальская,CV,2024
1,2024-12-26 12:14:00,Куйбышевская,CV,2024
1,2024-12-30 10:41:00,Дальневосточная,CV,2024
